rating(22/23),totalRating(22/23),countRating(22/23),goals(22/23),bigChancesCreated(22/23),bigChancesMissed(22/23),expectedAssists(22/23),goalsAssistsSum(22/23),accuratePasses(22/23),inaccuratePasses(22/23),totalPasses(22/23),accuratePassesPercentage(22/23),accurateOwnHalfPasses(22/23),accurateOppositionHalfPasses(22/23),accurateFinalThirdPasses(22/23),keyPasses(22/23),successfulDribbles(22/23),successfulDribblesPercentage(22/23),tackles(22/23),interceptions(22/23),yellowCards(22/23),directRedCards(22/23),redCards(22/23),accurateCrosses(22/23),accurateCrossesPercentage(22/23),totalShots(22/23),shotsOnTarget(22/23),shotsOffTarget(22/23),groundDuelsWon(22/23),groundDuelsWonPercentage(22/23),aerialDuelsWon(22/23),aerialDuelsWonPercentage(22/23),totalDuelsWon(22/23),totalDuelsWonPercentage(22/23),minutesPlayed(22/23),goalConversionPercentage(22/23),penaltiesTaken(22/23),penaltyGoals(22/23),penaltyWon(22/23),penaltyConceded(22/23),shotFromSetPiece(22/23),freeKickGoal(22/23),goalsFromInsideTheBox(22/23),goalsFromOutsideTheBox(22/23),shotsFromInsideTheBox(22/23),shotsFromOutsideTheBox(22/23),headedGoals(22/23),leftFootGoals(22/23),rightFootGoals(22/23),accurateLongBalls(22/23),accurateLongBallsPercentage(22/23),clearances(22/23),errorLeadToGoal(22/23),errorLeadToShot(22/23),dispossessed(22/23),possessionLost(22/23),possessionWonAttThird(22/23),totalChippedPasses(22/23),accurateChippedPasses(22/23),touches(22/23),wasFouled(22/23),fouls(22/23),hitWoodwork(22/23),ownGoals(22/23),dribbledPast(22/23),offsides(22/23),blockedShots(22/23),passToAssist(22/23),saves(22/23),cleanSheet(22/23),penaltyFaced(22/23),penaltySave(22/23),savedShotsFromInsideTheBox(22/23),savedShotsFromOutsideTheBox(22/23),goalsConcededInsideTheBox(22/23),goalsConcededOutsideTheBox(22/23),punches(22/23),runsOut(22/23),successfulRunsOut(22/23),highClaims(22/23),crossesNotClaimed(22/23),matchesStarted(22/23),penaltyConversion(22/23),setPieceConversion(22/23),totalAttemptAssist(22/23),totalContest(22/23),totalCross(22/23),duelLost(22/23),aerialLost(22/23),attemptPenaltyMiss(22/23),attemptPenaltyPost(22/23),attemptPenaltyTarget(22/23),totalLongBalls(22/23),goalsConceded(22/23),tacklesWon(22/23),tacklesWonPercentage(22/23),scoringFrequency(22/23),yellowRedCards(22/23),savesCaught(22/23),savesParried(22/23),totalOwnHalfPasses(22/23),totalOppositionHalfPasses(22/23),totwAppearances(22/23),expectedGoals(22/23),assists(22/23),rating(21/22),totalRating(21/22),countRating(21/22),goals(21/22),bigChancesCreated(21/22),bigChancesMissed(21/22),goalsAssistsSum(21/22),accuratePasses(21/22),inaccuratePasses(21/22),totalPasses(21/22),accuratePassesPercentage(21/22),accurateOwnHalfPasses(21/22),accurateOppositionHalfPasses(21/22),accurateFinalThirdPasses(21/22),keyPasses(21/22),successfulDribbles(21/22),successfulDribblesPercentage(21/22),tackles(21/22),interceptions(21/22),yellowCards(21/22),directRedCards(21/22),redCards(21/22),accurateCrosses(21/22),accurateCrossesPercentage(21/22),totalShots(21/22),shotsOnTarget(21/22),shotsOffTarget(21/22),groundDuelsWon(21/22),groundDuelsWonPercentage(21/22),aerialDuelsWon(21/22),aerialDuelsWonPercentage(21/22),totalDuelsWon(21/22),totalDuelsWonPercentage(21/22),minutesPlayed(21/22),goalConversionPercentage(21/22),penaltiesTaken(21/22),penaltyGoals(21/22),penaltyWon(21/22),penaltyConceded(21/22),shotFromSetPiece(21/22),freeKickGoal(21/22),goalsFromInsideTheBox(21/22),goalsFromOutsideTheBox(21/22),shotsFromInsideTheBox(21/22),shotsFromOutsideTheBox(21/22),headedGoals(21/22),leftFootGoals(21/22),rightFootGoals(21/22),accurateLongBalls(21/22),accurateLongBallsPercentage(21/22),clearances(21/22),errorLeadToGoal(21/22),errorLeadToShot(21/22),dispossessed(21/22),possessionLost(21/22),possessionWonAttThird(21/22),totalChippedPasses(21/22),accurateChippedPasses(21/22),touches(21/22),wasFouled(21/22),fouls(21/22),hitWoodwork(21/22),ownGoals(21/22),dribbledPast(21/22),offsides(21/22),blockedShots(21/22),passToAssist(21/22),saves(21/22),cleanSheet(21/22),penaltyFaced(21/22),penaltySave(21/22),savedShotsFromInsideTheBox(21/22),savedShotsFromOutsideTheBox(21/22),goalsConcededInsideTheBox(21/22),goalsConcededOutsideTheBox(21/22),punches(21/22),runsOut(21/22),successfulRunsOut(21/22),highClaims(21/22),crossesNotClaimed(21/22),matchesStarted(21/22),penaltyConversion(21/22),setPieceConversion(21/22),totalAttemptAssist(21/22),totalContest(21/22),totalCross(21/22),duelLost(21/22),aerialLost(21/22),attemptPenaltyMiss(21/22),attemptPenaltyPost(21/22),attemptPenaltyTarget(21/22),totalLongBalls(21/22),goalsConceded(21/22),tacklesWon(21/22),tacklesWonPercentage(21/22),scoringFrequency(21/22),yellowRedCards(21/22),savesCaught(21/22),savesParried(21/22),totalOwnHalfPasses(21/22),totalOppositionHalfPasses(21/22),totwAppearances(21/22),assists(21/22),factor(22/23),factor(21/22),age,price,attacking0,technical0,tactical0,defending0,creativity0,attacking1,technical1,tactical1,defending1,creativity1,attacking2,technical2,tactical2,defending2,creativity2,player,role_F,role_M
7.0470588235294,239.6,34,10,3,8,0.0,12,717,133,850,84.352941176471,188,534,341,46,49,47.115384615385,36,8,2,0,0,5,10.0,63,30,16,122,50.205761316872,5,20.0,127,47.388059701493,2222,15.873015873016,0,0,0,0,1,0,10,0,42,21,0,7,3,19,70.37037037037,3,0,0,24,320,24,32,16,1302,37,18,4,0,25,7,17,0,0,5,0,0,0,0,19,4,0,0,0,0,0,26,0.0,0.0,46,104,50,141,20,0,0,0,27,23,18,50.0,222.2,0,0,0,209,691,3,0.0,2,6.796,169.9,28,2,2,6,3,345,82,427,80.7962529274,106,248,141,14,44,51.162790697674,28,12,0,0,0,9,27.272727272727,32,14,11,94,51.366120218579,6,27.272727272727,100,48.780487804878,1363,6.25,0,0,0,0,1,0,1,1,21,11,0,2,0,16,61.538461538462,0,0,1,18,224,17,22,11,762,22,13,2,0,16,1,7,0,0,0,0,0,0,0,14,1,0,0,0,0,0,16,0.0,0.0,14,86,33,105,16,0,0,0,26,15,15,53.571428571429,681.5,0,0,0,125,335,0,1,1.0,1.0,24,10.4,67,62,55,36,53,73,72,59,36,58,67,72,57,36,56,francisco-trincao,1.0,0.0
6.9695652173913,320.6,46,21,9,19,0.0,31,685,312,997,68.706118355065,114,575,383,85,96,37.795275590551,21,3,7,0,0,4,15.384615384615,137,58,38,200,37.950664136622,83,35.622317596567,283,37.236842105263,4022,15.328467153285,4,3,3,0,2,0,18,3,98,39,2,4,15,9,60.0,19,0,0,103,850,46,23,12,2068,83,61,2,0,8,21,41,0,0,20,0,0,0,0,42,1,0,0,0,0,0,44,75.0,0.0,85,254,26,477,150,0,0,1,15,43,11,52.380952380952,191.52380952381,0,0,0,151,872,7,0.0,10,6.9333333333333,312.0,45,17,7,19,22,619,256,875,70.742857142857,118,507,323,69,81,46.551724137931,16,5,1,0,0,6,26.086956521739,136,62,32,154,39.285714285714,66,26.4,220,34.267912772586,3598,12.5,1,0,1,0,0,0,14,3,101,35,2,0,15,12,44.444444444444,24,0,0,104,681,42,28,9,1775,57,34,4,0,11,13,42,0,0,7,0,0,0,0,52,1,0,0,0,0,0,41,0.0,0.0,69,174,23,422,184,0,0,1,27,53,9,56.25,211.64705882353,0,0,0,141,757,5,5,0.0,0.0,25,42.0,75,58,57,31,58,70,49,55,31,51,66,52,46,28,48,viktor-gyokeres,1.0,0.0
7.5121212121212,247.9,33,15,16,11,0.0,26,932,214,1146,81.326352530541,287,682,393,75,44,42.718446601942,59,21,8,0,0,37,25.51724137931,104,42,29,136,46.896551724138,8,36.363636363636,144,46.153846153846,2818,14.423076923077,8,6,2,0,6,0,13,2,63,41,1,0,14,51,67.105263157895,5,0,0,47,506,28,92,49,1822,33,20,4,0,30,9,33,1,0,7,0,0,0,0,26,4,0,0,0,0,0,33,75.0,0.0,74,103,145,168,14,1,0,1,76,30,36,61.016949152542,187.86666666667,0,0,0,326,965,10,0.0,11,7.1925925925926,194.2,27,8,10,15,17,519,124,643,80.715396578538,168,377,220,42,29,43.283582089552,29,14,4,0,0,26,36.619718309859,90,40,32,78,40.837696335079,2,10.526315789474,80,38.095238095238,2031,8.8888888888889,2,1,1,0,1,0,7,1,52,38,0,1,7,27,67.5,2,0,0,28,303,22,57,29,1092,20,18,1,0,29,2,18,1,0,4,0,0,0,0,11,3,0,0,0,0,0,25,50.0,0.0,41,67,71,130,17,0,0,1,40,14,16,55.172413793103,253.875,0,0,0,188,526,6,9,1.0,1.0,25,31.0,73,60,57,35,71,73,61,57,37,64,77,65,60,41,66,pedro-goncalves,0.0,1.0
6.9862068965517,202.6,29,6,1,2,0.0,9,888,135,1023,86.803519061584,397,492,245,17,14,45.161290322581,50,26,4,0,0,1,14.285714285714,28,10,11,89,47.593582887701,23,60.526315789474,112,49.777777777778,1963,21.428571428571,0,0,0,0,0,0,6,0,22,6,1,2,3,51,68.0,15,0,0,24,223,14,59,37,1346,25,46,2,0,11,1,7,0,0,6,0,0,0,0,14,2,0,0,0,0,0,21,0.0,0.0,17,31,7,113,15,0,0,0,75,16,33,66.0,327.16666666667,0,0,0,433,597,2,0.0,3,6.7678571428571,189.5,28,1,2,0,2,1011,223,1234,81.92868719611,551,464,216,24,20,64.516129032258,38,45,4,0,1,4,30.769230769231,11,2,6,75,44.642857142857,17,47.222222222222,92,45.098039215686,2278,9.0909090909091,0,0,0,1,0,0,1,0,3,8,0,0,1,87,53.048780487805,30,0,0,21,311,9,149,81,1565,17,42,1,0,21,1,3,0,0,6,0,0,0,0,38,3,0,0,0,0,0,25,0.0,0.0,24,31,13,112,19,0,0,0,164,41,18,47.368421052632,2278.0,1,0,0,600,647,0,1,1.0,1.0,28,11.1,52,52,54,54,56,51,51,60,54,55,52,58,56,52,54,hidemasa-morita,0.0,1.0
6.9457142857143,243.1,35,0,3,0,1.51996322,4,1032,269,1301,79.323597232898,481,556,274,26,17,85.0,90,72,9,1,1,5,29.411764705882,17,4,8,145,56.420233463035,41,58.571428571429,186,56.880733944954,2963,0.0,0,0,0,1,0,0,0,0,3,14,0,0,0,95,52.777777777778,53,0,0,19,336,25,143,74,1762,38,61,1,0,30,0,5,0,0,3,0,0,0,0,37,7,0,0,0,0,0,34,0.0,0.0,26,20,17,141,29,0,0,0,180,44,52,57.777777777778,0.0,0,0,0,549,769,1,0.5841,4,7.1694444444444,258.1,37,0,4,1,3,1189,305,1494,79.58500669344,531,660,331,34,25,64.102564102564,88,54,7,0,0,2,20.0,25,4,13,169,63.295880149813,48,62.337662337662,217,63.081395348837,3209,0.0,0,0,0,0,0,0,0,0,10,15,0,0,0,116,51.785714285714,65,0,1,26,397,18,153,76,2030,57,43,0,0,16,1,8,1,0,12,0,0,0,0,23,5,0,0,0,0,0,36,0.0,0.0,33,39,10,127,29,0,0,0,224,28,53,60.227272727273,0.0,0,0,0,626,878,2,3,1.0,0.0,24,28.0,52,55,62,62,57,50,54,66,70,56,49,54,56,59,53,hjulmand-morten,0.0,1.0
0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,6.9130434782609,159.0,26,2,2,1,3,546,51,597,91.457286432161,231,316,139,17,22,75.862068965517,25,17,4,1,1,1,16.666666666667,14,5,4,69,54.330708661417,11,68.75,80,55.944055944056,791,14.285714285714,0,0,0,0,0,0,2,0,5,9,0,2,0,32,80.0,1,0,0,14,93,9,51,38,776,22,25,0,0,12,0,5,0,0,2,0,0,0,0,5,1,0,0,0,0,0,5,0.0,0.0,17,29,6,63,5,0,0,0,40,6,15,60.0,395.5,0,0,0,241,362,1,1,0.0,1.0,24,4.6,0,0,0,0,0,51,60,52,45,52,49,62,47,41,52,daniel-braganca,0.0,1.0
6.8846153846154,89.5,26,1,0,1,0.0,1,798,82,880,90.681818181818,469,329,117,2,6,75.0,22,11,9,0,0,0,0.0,11,2,5,31,53.448275862069,13,43.333333333333,44,50.0,1773,9.0909090909091,0,0,0,0,0,0,1,0,6,5,1,0,0,39,56.521739130435,22,1,2,2,95,4,54,24,993,3,14,0,0,9,0,4,0,0,5,0,0,0,0,7,1,0,0,0,0,0,11,0.0,0.0,2,8,1,44,17,0,0,0,69,8,13,59.090909090909,893.0,0,0,0,498,383,1,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.5,0.0,20,42.0,39,51,51,66,45,0,0,0,0,0,0,0,0,0,0,diomande-ousmane,0.0,0.0
6.8238095238095,143.3,21,1,1,0,0.0,2,871,65,936,93.055555555556,482,390,166,5,7,58.333333333333,15,14,3,0,0,1,7.6923076923077,7,1,3,34,54.838709677419,23,60.526315789474,57,57.0,915,14.285714285714,0,0,0,0,0,0,1,0,4,3,1,0,0,28,59.574468085106,22,0,1,2,93,1,22,12,1075,12,17,0,0,4,0,3,0,0,4,0,0,0,0,6,0,0,0,0,0,0,7,0.0,0.0,5,12,13,43,15,0,0,0,47,6,8,53.333333333333,915.0,0,0,0,514,435,1,0.0,1,7.15,57.2,8,1,0,1,1,227,63,290,78.275862068966,158,70,29,3,1,33.333333333333,13,14,0,0,0,1,16.666666666667,12,3,7,22,56.410256410256,24,60.0,46,58.227848101266,605,8.3333333333333,0,0,0,0,1,0,1,0,8,4,0,0,1,27,51.923076923077,13,0,0,2,76,0,31,12,389,8,14,0,0,1,0,2,0,0,4,0,0,0,0,4,0,0,0,0,0,0,7,0.0,0.0,3,3,6,33,16,0,0,0,52,4,9,69.230769230769,605.0,0,0,0,184,112,1,0,1.0,1.0,27,7.8,39,44,63,71,44,40,51,67,78,44,40,53,79,90,46,jeremiah-st-juste,0.0,0.0
6.8636363636364,226.5,33,1,1,0,0.0,1,1991,184,2175,91.540229885057,1056,941,407,15,19,61.290322580645,32,11,5,0,0,6,10.169491525424,12,5,4,80,58.394160583942,29,60.416666666667,109,58.918918918919,2292,8.3333333333333,0,0,0,0,0,0,0,1,8,4,0,1,0,72,52.554744525547,24,0,0,11,296,4,137,69,2538,29,29,1,0,7,1,3,1,0,6,0,0,0,0,22,3,0,0,0,0,0,26,0.0,0.0,14,31,59,76,19,0,0,0,137,25,18,56.25,2292.0,0,0,0,1113,1121,0,0.0,0,7.0153846153846,182.4,26,2,5,0,4,1438,167,1605,89.595015576324,813,635,248,11,22,78.571428571429,28,23,6,0,1,10,25.641025641026,11,4,6,83,60.583941605839,25,54.347826086957,108,59.016393442623,2067,18.181818181818,0,0,0,1,0,0,1,1,8,3,0,2,0,52,51.485148514851,35,0,0,8,243,5,101,50,1994,34,32,0,1,9,4,1,0,0,11,0,0,0,0,13,5,0,0,0,0,0,23,0.0,0.0,11,28,39,75,21,0,0,0,101,18,19,67.857142857143,1033.5,1,0,0,872,772,3,2,1.0,1.0,28,8.5,43,52,49,57,50,44,54,58,64,49,41,53,56,65,44,reis-matheus,0.0,0.0
7.0346153846154,182.9,26,4,10,1,4.13113977,8,437,118,555,78.738738738739,152,320,189,42,32,43.835616438356,10,7,1,1,1,35,36.082474226804,38,13,16,66,42.58064516129,1,14.285714285714,67,41.358024691358,1362,10.526315789474,1,1,0,0,1,0,3,1,19,19,0,4,0,34,55.737704918033,0,0,0,26,293,14,74,36,935,24,6,2,0,16,4,9,0,0,0,0,0,0,0,20,1,0,0,0,0,0,15,100.0,0.0,42,73,97,95,6,0,0,0,61,21,5,50.0,340.5,0,0,0,169,483,3,3.0686,4,7.3346153846154,190.7,26,5,14,6,12,828,203,1031,80.310378273521,235,628,341,54,31,50.819672131148,29,6,2,0,0,35,28.688524590164,51,22,15,74,49.006622516556,0,0.0,74,49.006622516556,1659,9.8039215686275,0,0,1,0,1,0,4,1,27,24,0,5,0,47,61.842105263158,3,0,0,16,399,21,113,54,1469,14,9,1,0,23,7,14,0,0,0,0,0,0,0,11,2,0,0,0,0,0,19,0.0,0.0,54,61,122,77,0,0,0,0,76,13,18,62.068965517241,331.8,0,0,0,258,895,4,7,1.0,1.0,35,5.3,80,77,53,28,80,77,73,49,32,81,77,76,50,34,86,angel-di-maria,1.0,0.0
6.8678571428571,192.3,28,8,0,2,0.89188522,9,181,81,262,69.083969465649,51,130,78,14,15,46.875,9,1,4,0,0,0,0.0,54,22,21,42,37.837837837838,49,50.0,91,43.540669856459,1461,14.814814814815,2,2,0,1,0,0,8,0,51,3,1,1,6,5,55.555555555556,11,0,0,24,190,17,13,6,543,18,26,1,0,4,2,11,0,0,1,0,0,0,0,16,1,0,0,0,0,0,15,100.0,0.0,14,32,4,118,49,0,0,0,9,17,2,22.222222222222,182.625,0,0,0,60,206,0,7.86,1,7.190624999999976,216.5,32,16,4,18,22,332,134,466,72.68021472392631,111,222,138,28,26,56.24999999999987,21,2,4,0,0,1,28.125,98,43,43,80,44.25899131872687,64,43.27083333333319,144,44.09032671364475,2232,14.304347826087124,3,2,0,0,0,0,15,1,86,12,3,4,9,12,74.16666666666681,34,0,0,34,272,12,28,19,891,36,36,2,0,13,4,12,0,0,3,0,0,0,0,25,3,0,0,0,0,0,25,66.666666666667,0.0,28,48,4,177,75,0,1,0,16,28,11,52.43055555555575,223.60714285714124,0,0,0,131,339,7,6,1.0,0.5,25,16.5,70,52,52,26,47,68,51,52,29,48,72,55,57,32,46,arthur-cabral,1.0,0.0
6.9275862068966,200.9,30,7,4,7,0.0,9,132,56,188,70.212765957447,34,98,72,16,7,63.636363636364,12,7,1,0,0,0,0.0,38,15,15,29,42.028985507246,30,69.767441860465,59,52.678571428571,680,18.421052631579,0,0,1,0,0,0,7,0,34,4,2,0,5,3,37.5,3,0,0,12,101,9,6,6,340,10,18,3,0,7,6,8,0,0,0,0,0,0,0,4,1,0,0,0,0,0,2,0.0,0.0,16,11,2,53,13,0,0,0,8,5,9,75.0,97.142857142857,0,0,0,46,144,2,0.0,2,7.0481481481481,190.3,29,11,4,9,14,354,190,544,65.073529411765,133,222,110,28,25,52.083333333333,14,4,9,0,1,1,14.285714285714,78,31,33,71,36.979166666667,114,53.023255813953,185,45.454545454545,2392,14.102564102564,0,0,0,0,0,0,10,1,64,14,1,5,5,11,61.111111111111,34,0,0,31,326,18,34,19,931,33,60,4,0,10,21,14,0,0,4,0,0,0,0,37,2,0,0,0,0,0,27,0.0,0.0,28,48,7,222,101,0,0,0,18,39,10,71.428571428571,210.27272727273,1,0,0,153,398,1,3,1.0,0.5,25,8.6,68,56,58,38,46,74,57,55,32,54,70,51,46,31,51,petar-musa,1.0,0.0
6.45,12.9,8,0,0,0,0.0,0,5,2,7,71.428571428571,2,4,3,0,0,0.0,0,0,0,0,0,1,100.0,1,1,0,0,0.0,0,0.0,0,0.0,282,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,1,1,4,3,0,0,0,1,1,0,0.0,0.0,0,0,0,3,5,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.5,0.0,23,6.8,68,52,48,30,57,78,57,52,32,53,0,0,0,0,0,tengstedt-casper,1.0,0.0
7.0466666666667,211.4,31,6,10,7,0.0,14,823,159,982,83.808553971487,175,680,458,51,57,51.818181818182,21,3,2,0,0,32,27.118644067797,50,19,16,102,45.333333333333,4,23.529411764706,106,43.801652892562,1967,12.0,0,0,0,0,1,0,4,2,27,23,0,5,1,17,70.833333333333,0,0,0,31,404,27,28,17,1480,24,25,1,0,17,5,15,2,0,1,0,0,0,0,9,0,0,0,0,0,0,22,0.0,0.0,49,110,118,136,13,0,0,0,24,9,8,38.095238095238,327.83333333333,0,0,0,195,905,3,0.0,8,7.0933333333333,106.4,15,3,7,0,5,260,51,311,83.601286173633,61,205,131,10,12,75.0,10,1,1,0,0,6,28.571428571429,9,6,1,27,64.285714285714,1,16.666666666667,28,58.333333333333,472,33.333333333333,0,0,0,0,0,0,3,0,8,1,1,2,0,4,80.0,0,0,0,8,96,7,10,6,416,5,2,0,0,1,7,2,1,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0.0,0.0,9,16,21,20,5,0,0,0,5,1,7,70.0,157.33333333333,0,0,0,71,261,1,2,1.0,1.0,26,24.0,65,66,40,35,71,73,68,52,43,72,72,67,46,40,65,david-neres,1.0,0.0
7.478125,239.3,32,8,9,0,0.0,10,1962,358,2320,84.568965517241,620,1397,781,90,30,57.692307692308,39,19,6,0,0,55,36.912751677852,84,31,18,96,45.283018867925,9,45.0,105,45.258620689655,2699,9.5238095238095,2,2,0,0,21,2,3,5,24,60,0,2,6,119,54.090909090909,15,0,0,44,591,33,212,111,2938,27,23,1,0,28,0,35,1,0,8,0,0,0,0,21,5,0,0,0,0,0,31,100.0,9.5238095238095,89,52,149,127,11,0,0,0,220,26,18,46.153846153846,337.375,0,0,0,679,1790,5,0.0,2,7.596875,243.1,32,7,10,3,16,1934,312,2246,86.108637577916,652,1345,712,102,40,71.428571428571,42,15,5,0,0,63,34.806629834254,76,24,21,120,54.298642533937,16,32.65306122449,136,50.37037037037,2632,9.2105263157895,3,2,0,0,12,0,3,4,19,57,0,2,5,115,59.585492227979,8,0,3,39,547,29,179,93,2871,38,23,2,0,24,1,31,1,0,9,0,0,0,0,28,2,0,0,0,0,0,32,66.666666666667,0.0,101,56,181,134,33,0,0,1,193,30,28,66.666666666667,376.0,0,0,0,696,1731,9,9,1.0,1.0,23,29.0,63,66,57,45,72,66,70,53,41,73,62,66,47,40,71,orkun-kokcu,0.0,1.0
7.3484848484848,242.5,33,17,11,10,0.0,24,1251,177,1428,87.605042016807,294,988,651,54,32,50.0,45,11,4,0,1,31,26.95652173913,76,32,20,129,47.426470588235,13,39.393939393939,142,46.55737704918,2657,22.368421052632,10,7,1,0,1,0,17,0,53,23,0,3,14,34,64.150943396226,9,0,0,34,399,43,61,33,2042,52,45,3,0,32,6,24,0,0,9,0,0,0,0,17,1,0,0,0,0,0,33,70.0,0.0,54,64,115,163,20,1,0,2,53,18,28,62.222222222222,156.29411764706,1,0,0,326,1217,8,0.0,7,7.1407407407407,192.8,28,3,5,2,6,1044,132,1176,88.775510204082,338,739,404,38,19,61.290322580645,38,15,2,0,0,33,38.372093023256,24,10,7,88,52.07100591716,14,53.846153846154,102,52.307692307692,1710,12.5,0,0,0,0,0,0,3,0,9,15,0,1,2,53,70.666666666667,2,0,1,18,256,15,82,42,1520,33,35,0,0,16,0,7,1,0,2,0,0,0,0,17,2,0,0,0,0,0,20,0.0,0.0,37,31,86,93,12,0,0,0,75,19,22,57.894736842105,570.0,0,0,0,358,904,3,3,1.0,1.0,31,9.3,64,60,46,39,65,65,69,53,46,70,58,68,53,46,66,joao-mario,0.0,1.0
6.8821428571429,192.7,28,8,11,14,0.0,12,597,153,750,79.6,90,509,378,40,51,45.132743362832,16,2,6,0,0,2,8.3333333333333,68,22,24,132,49.253731343284,9,31.034482758621,141,47.474747474747,2196,11.764705882353,0,0,3,0,0,0,8,0,48,20,2,0,6,18,78.260869565217,0,0,0,43,366,33,20,13,1249,65,18,2,0,14,16,22,2,0,8,0,0,0,0,15,1,0,0,0,0,0,26,0.0,0.0,38,113,24,156,20,0,0,0,23,16,9,56.25,274.5,0,0,0,106,668,2,0.0,4,7.2,194.4,28,8,17,11,23,654,137,791,82.6801517067,102,562,394,45,76,58.015267175573,25,13,3,0,0,10,32.258064516129,49,18,23,178,56.869009584665,3,18.75,181,55.015197568389,2042,16.326530612245,0,0,1,0,0,0,6,2,33,16,0,0,8,9,56.25,2,0,0,47,335,19,30,19,1323,77,18,2,0,16,8,8,0,0,2,0,0,0,0,18,3,0,0,0,0,0,22,0.0,0.0,45,131,31,148,13,0,0,0,16,21,18,72.0,255.25,0,0,0,116,706,5,15,1.0,1.0,30,18.9,64,59,40,33,69,67,63,47,33,67,68,71,48,33,63,rafa-silva,1.0,0.0
6.7615384615385,263.7,39,0,6,2,0.0,4,686,306,992,69.153225806452,279,425,222,34,51,65.384615384615,68,43,6,0,0,18,20.93023255814,28,5,10,149,53.597122302158,41,57.746478873239,190,54.441260744986,2648,0.0,0,0,0,0,0,0,0,0,16,12,0,0,0,49,39.516129032258,43,0,0,38,549,14,105,34,1770,31,26,0,0,39,4,13,0,0,6,0,0,0,0,30,8,0,0,0,0,0,27,0.0,0.0,34,78,86,159,30,0,0,0,124,38,38,55.882352941176,0.0,0,0,0,373,705,0,0.0,4,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,20,7.4,48,54,46,56,54,0,0,0,0,0,0,0,0,0,0,alvaro-carreras,0.0,1.0
6.8758620689655,199.4,29,5,11,4,0.0,11,400,130,530,75.471698113208,126,287,159,40,39,43.820224719101,45,15,7,0,0,13,33.333333333333,44,14,16,146,50.171821305842,8,26.666666666667,154,47.97507788162,2401,11.363636363636,0,0,0,0,0,0,5,0,29,15,0,3,2,24,52.173913043478,15,0,0,36,306,17,47,21,1010,62,39,2,0,24,4,14,0,0,3,0,0,0,0,32,3,0,0,0,0,0,29,0.0,0.0,40,89,39,167,22,0,0,0,46,35,25,55.555555555556,480.2,0,0,0,157,412,2,0.0,6,7.2,14.4,27,10,1,0,11,22,5,27,81.481481481481,8,14,9,1,5,71.428571428571,2,2,1,0,0,0,0.0,3,3,0,8,50.0,0,0.0,8,50.0,1796,0.0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,75.0,1,0,0,0,15,1,1,1,55,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.0,0.0,1,7,6,8,0,0,0,0,4,0,1,50.0,158.33333333333334,0,0,0,11,22,0,1,1.0,0.5,22,3.6,64,60,44,34,63,0,0,0,0,0,0,0,0,0,0,tiago-gouveia,0.0,1.0
